,Chemical Formula,Composition,Empirical Formula,Environment,IMA Status,Locality,Name Origin,Name Pronunciation,Synonym,Cell Dimensions,Cleavage,Color,Density,Diaphaneity,Fracture,Habit,Hardness,Luster,Fermion Index,Photoelectric,Radioactivity,Dana Class,Strunz Class,References,Mineral name,Streak,Gladstone-Dale,Optical Data
617, Ca7Mg(SiO4)4, Molecular Weight = 673.18 gm, Ca7Mg(SiO4)4, In contact metamophosed limestones and dolostones intruded by diabase., Valid Species (Pre-IMA) 1948," In the USA, at Marble Canyon, Culberson Co., Texas. In Ireland, at Scawt Hill and Ballycraigy, near Larne, Co. Antrim. Link to MinDat.org Location Data."," For Max Albrecht Bredig (1902- ), physical chemist, who studied the polymorphism of Ca2SiO4.", Bredigite + Pronunciation, ICSD 9828," a = 10.909, b = 18.34, c = 6.739, Z = 4; V = 1,348.28 Den(Calc)= 3.32", {130} Distinct," Colorless, Gray.", 3.4, Transparent,,,, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEBredigite = 5.82 barns/electron
U=PEBredigite x rElectron Density= 19.77 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Bredigite is Not Radioactive", 51.04.01.01 (51)Nesosilicate Insular SiO4 Groups Only, 09.AD.20 09 - SILICATES (Germanates)," NAME( AntBidBlaNic2) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Bredigite, white," CI meas= -0.011 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= -0.036 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2162,KPDmeas= 0.2111,KC= 0.2087
Ncalc = 1.69 - 1.71"," Biaxial (+), a=1.712, b=1.716, g=1.725, bire=0.0130, 2V(Calc)=68, 2V(Meas)=30."
618, CaFe++2Fe+++Si2O7O(OH), Molecular Weight = 408.79 gm, CaFe2+3(SiO4)2(OH)," Occurs with magnetite ore bodies, with zinc and copper ores, and in contact deposits and zeolites.", Valid Species (Pre-IMA) 1811," Capo Calamita, on Elba. Link to MinDat.org Location Data.", Named ilvaite from the Latin name of the island of Elba., Ilvaite, Breislakite - fiberous," a = 8.78, b = 12.99, c = 5.85, Z = 4; V = 667.21 Den(Calc)= 4.07"," {010} Distinct, {001} Distinct"," Iron black, Dark grayish black."," 3.99 - 4.05, Average = 4.01", Opaque, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Striated - Parallel lines on crystal surface or cleavage face., 5.5-6 - Knife Blade-Orthoclase, Sub Metallic," Fermion Index = 0.01
Boson Index = 0.99"," PEIlvaite = 14.01 barns/electron
U=PEIlvaite x rElectron Density= 55.51 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Ilvaite is Not Radioactive"," 56.02.03.03 (56)Sorosilicate Si2O7 Groups and O, OH, F. and H2O", 09.BE.07 09 - SILICATES (Germanates)," NAME( Ford32) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Ilvaite, brownish black," CI meas= -0.046 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= -0.033 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2031,KPDmeas= 0.2056,KC= 0.1966
Ncalc = 1.78 - 1.8"," Biaxial (-), a=1.727, b=1.87, g=1.883, bire=0.1560, 2V(Calc)=30, 2V(Meas)=20-30. Dispersion strong, r < v."
619, NiSb, Molecular Weight = 180.44 gm, NiSb, In hydrothermal calcite veins associated with Co-Ni-Ag ores., Valid Species (Pre-IMA) 1845," From the Cobalt district, near Red Lake; in the Silver Islet mine and the Hemlo gold deposit, Thunder Bay district, Ontario, Canada. Link to MinDat.org Location Data.", After the Saxon mineralogist Johann Friedrich August Breithaupt (1791-1873)., Breithauptite + Pronunciation, ICSD 293304," a = 3.93, c = 5.13, Z = 2; V = 68.62 Den(Calc)= 8.73", None," Copper red, Light brown red.", 8.23, Opaque, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Tabular - Form dimensions are thin in one direction., 3.5-4 - Copper Penny-Fluorite, Metallic," Fermion Index = 0.0036754434
Boson Index = 0.9963245566"," PEBreithauptite = 240.90 barns/electron
U=PEBreithauptite x rElectron Density=1,841.50 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Breithauptite is Not Radioactive", 02.08.11.02 (02)Sulfides - Including Selenides and Tellurides," 02.CC.05 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( AntBidBlaNic1) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Breithauptite, reddish brown,,
620," (Bi,Pb)2Fe(PO4)(O,OH)3", Molecular Weight = 616.49 gm, Bi1.27Pb0.73Fe2+O2(OH)(PO4), From the dumps of the ancient (16th century) Guldener Falk silver mine. Chemically related to paulkerrite., Approved IMA 1999 (Dana # Added)," Near Schneeberg, Saxony, Germany. Link to MinDat.org Location Data."," Named for Christain Friedrick Brendel (1776-1861), in recognition of his development and application of mechanized mining technology.", Brendelite + Pronunciation, ICSD 54148," a = 12.278, b = 3.815, c = 6.899, Z = 2; beta = 111.14° V = 301.41 Den(Calc)= 6.79", None," Black, Dark brown.", 6.83, Opaque to translucent,, Euhedral Crystals - Occurs as well-formed crystals showing good external form., 4.5 - Between Fluorite and Apatite, Vitreous - Adamantine," Fermion Index = 0.05
Boson Index = 0.95"," PEBrendelite =1,255.52 barns/electron
U=PEBrendelite x rElectron Density=7,324.08 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brendelite is Not Radioactive"," 41.03.08.02 (41)Anhydrous Phosphates, etc. Containing Hydroxyl or Halogen"," 08.BM.15 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( AmMin, Vol. 84, No. 7-8) PHYS. PROP.(Eur. J. Min.,Vol.10,1998) OPTIC PROP.(AntBidBlaNic4)",Brendelite, light brown," CI meas= -0.06 (Fair) - where the CI = (1-KPDmeas/KC)
CI calc= -0.066 (Fair) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1669,KPDmeas= 0.1659,KC= 0.1565
Ncalc = 2.06 - 2.07"," Biaxial (-), a=2.06, b=2.15, g=2.19, bire=0.1300"
621, Ca2(CO3)F2, Molecular Weight = 178.16 gm, Ca2(CO3)F2, Voids and fissures in a porphryritic selbergite., Approved IMA 1978," Schellkopf, 0.5 km west of Brenk, Eifel district, Germany. Link to MinDat.org Location Data.", Named for the locality., Brenkite, ICSD 100607," a = 7.65, b = 7.55, c = 6.548, Z = 4; V = 378.20 Den(Calc)= 3.13", None, Colorless., 3.1, Transparent,,,,," Fermion Index = 0.0014782654
Boson Index = 0.9985217346"," PEBrenkite = 5.76 barns/electron
U=PEBrenkite x rElectron Density= 17.80 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brenkite is Not Radioactive", 16a.03.06.01 (16a)Carbonates - Hydroxyl or Halogen, 05.BC.05 05 - CARBONATES (NITRATES)," NAME( AntBidBlaNic3) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Brenkite, white,," Biaxial (-), a=1.525, b=1.59, g=1.593, bire=0.0680, 2V(Calc)=22, 2V(Meas)=26-28."
622," (Sr,Ba)Al4Si12O32•10(H2O)"," Molecular Weight = 1,330.04 gm", Sr1.42Ba0.48K0.02Al4.12Si11.95O32•10(H2O), A hydrothermal mineral occurring in vugs of massive volcanic rocks and in veins. Renamed by the zeolite commission to brewsterite-Sr., Valid Species (Pre-IMA) 1822," Strontian at Argyleshite, Scotland. Link to MinDat.org Location Data."," Named after David Brewster (1781-1868), Scottish physicist, who studied the optical properties of minerals and the element Strontium.", Brewsterite-Sr + Pronunciation, Brewsterite," a = 6.793, b = 17.573, c = 7.759, Z = 1; beta = 94.54° V = 923.31 Den(Calc)= 2.39", {010} Perfect," White, Yellowish white, Gray..", 2.45, Transparent to translucent,, Prismatic - Crystals Shaped like Slender Prisms (e.g. tourmaline)., 5 - Apatite, Vitreous (Glassy)," Fermion Index = 0.02
Boson Index = 0.98"," PEBrewsterite-Sr = 31.34 barns/electron
U=PEBrewsterite-Sr x relectron= 74.12 barns/cc.","
GRapi = 0.85 (Gamma Ray American Petroleum Institute Units)
Concentration of Brewsterite-Sr per GRapi unit =117.90 (%)
Estimated Radioactivity from Brewsterite-Sr - barely detectable", 77.01.07.01 (77)Tectosilicate Zeolite group, 09.GE.20 09 - SILICATES (Germanates)," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Ford32)",Brewsterite-Sr, white," CI meas= 0.019 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= -0.006 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2155,KPDmeas= 0.2102,KC= 0.2143
Ncalc = 1.51 - 1.53"," Biaxial (+), a=1.51, b=1.512, g=1.523, bire=0.0130"
623, Cr3S4, Molecular Weight = 284.25 gm, Cr3S4, In the metal matrix and contiguous to silicate inclusions (Tucson iron meteorite)., Approved IMA 1969, In the Tucson and New Baltimore iron meteorites. Link to MinDat.org Location Data.," For Aristides Brezina (1848-1909), past Director of the Mineralogy-Petrology Section of the Natural History Museum, Vienna, Austria.", Brezinaite + Pronunciation,," a = 5.96, b = 3.425, c = 11.27, Z = 2; beta = 91.533° V = 229.97 Den(Calc)= 4.10",," Brownish gray, Gray.", 4.12, Opaque,,, 3.5-4.5 - Between Copper Penny and Fluorite-Apatite, Metallic - Dull," Fermion Index = 0.05
Boson Index = 0.95"," PEBrezinaite = 14.86 barns/electron
U=PEBrezinaite x rElectron Density= 58.30 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brezinaite is Not Radioactive", 02.10.02.02 (02)Sulfides - Including Selenides and Tellurides," 02.DA.15 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( AntBidBlaNic1) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Brezinaite,,,
624, Na2CaMg(PO4)2, Molecular Weight = 300.31 gm, Na2CaMg(PO4)2, A very rare component in phosphate modules in an iron meteorite., Approved IMA 1967, In the Dayton finest (very fine-grained) octahedrite meteorite. Link to MinDat.org Location Data.," In honor of Dr. Brian Harold Mason (1917- ), U.S. National Museum, Washington, D.C., USA, for his contributions to the study of meteorites.", Brianite, ICSD 408373," a = 13.36, b = 5.23, c = 9.13, Z = 4; beta = 91.2° V = 637.80 Den(Calc)= 3.13",, Colorless., 3, Transparent,,, 4-5 - Fluorite-Apatite, Vitreous (Glassy)," Fermion Index = 0.0084781832
Boson Index = 0.9915218168"," PEBrianite = 3.06 barns/electron
U=PEBrianite x rElectron Density= 9.43 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brianite is Not Radioactive"," 38.01.07.01 (38)Anhydrous Phosphates, etc"," 08.AC.30 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( AntBidBlaNic4) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Brianite, white," CI meas= -0.049 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= -0.006 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1929,KPDmeas= 0.2012,KC= 0.1918
Ncalc = 1.58 - 1.6"," Biaxial (-), a=1.598, b=1.605, g=1.608, bire=0.0100, 2V(Calc)=66, 2V(Meas)=63-65."
625, Ca3[B5O6(OH)6](OH)Cl2•8(H2O), Molecular Weight = 604.36 gm, Ca3(B5O6)(OH)6(OH)Cl2•8(H2O), In the lower third of the Upper Halite member of the Mississippian-aged Widsor Group evaporites., Approved IMA 1997 (Dana # Added)," Potash Corporation of Saskatchewan Mine, 5 km east of Penobsquis, Carwell Parish, Kings County, New Brunswick, Canada. Link to MinDat.org Location Data."," For Brian V. Roulston (1948-), in recognition of his work on the geology of evaporite deposits.", Brianroulstonite + Pronunciation, ICSD 89259," a = 17.42, b = 8.077, c = 8.665, Z = 2; beta = 121.483° V = 1,039.71 Den(Calc)= 1.93", {010} Perfect," Colorless, White.", 1.97, Transparent to translucent, Flexible - Flexible fragments.," Micaceous - Platy texture with ""flexible"" plates.", 5 - Apatite, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEBrianroulstonite = 3.32 barns/electron
U=PEBrianroulstonite x rElectron Density= 6.58 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brianroulstonite is Not Radioactive", 26.05.17.03 (26)Hydrated Borates Containing Hydroxyl or Halogen, 06.EC.35 06 - BORATES," NAME( MinRec) PHYS. PROP.(Am.Min.,Vol.83,p400-403,1998) OPTIC PROP.(MinRec)",Brianroulstonite, white," CI meas= 0.034 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= 0.014 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2703,KPDmeas= 0.2648,KC= 0.274
Ncalc = 1.53 - 1.54"," Biaxial (-), a=1.506, b=1.527, g=1.532, bire=0.0260, 2V(Calc)=50, 2V(Meas)=56. Dispersion none."
626," Zn3(CO3,SO4)(OH)4", Molecular Weight = 333.22 gm, Zn3(CO3)0.75(SO4)0.25(OH)4, Secondary post-mine mineral in limestone-hosted oxidized Pb-Zn ores., Approved IMA 1993," Brownley Hill mine, near Alston, England. Link to MinDat.org Location Data."," Named for Brian Young (1947- ), field geologist and mineralogist of the British Geological Survey, who provided the first specimens.", Brianyoungite + Pronunciation, IMA1991-053," a = 15.724, b = 6.256, c = 5.427, Z = 4; beta = 90° V = 533.85 Den(Calc)= 4.15", {???} Perfect, Colorless.," 3.93 - 4.09, Average = 4.01", Transparent,,, 2-2.5 - Gypsum-Finger Nail, Vitreous (Glassy)," Fermion Index = 0.02
Boson Index = 0.98"," PEBrianyoungite = 29.43 barns/electron
U=PEBrianyoungite x rElectron Density= 113.69 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brianyoungite is Not Radioactive", 17.01.15.01 (17)Compound Carbonates, 05.BF.30 05 - CARBONATES (NITRATES)," NAME( AntBidBlaNic3) PHYS. PROP.(37th List of New Min.,Min. Mag.,1996) OPTIC PROP.(37th List of New Min.,Min. Mag.,19)",Brianyoungite, white," CI meas= 0.13 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= 0.159 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1548,KPDmeas= 0.1602,KC= 0.1841
Ncalc = 1.72 - 1.76"," Biaxial (?), a=1.635, b=1.65,"
627," Cu2(Zn,Fe)GeS4", Molecular Weight = 390.97 gm, Cu2Zn0.75Fe2+0.25GeS4, As inclusions in other Ge-Ga-bearing sulfides., Approved IMA 1965," From Kipushi, Shaba Province, Zaire. Link to MinDat.org Location Data."," For Gaston Briart, who studied the Kipushi deposit.", Briartite + Pronunciation, ICSD 47165," a = 5.32, c = 10.51, Z = 2; V = 297.46 Den(Calc)= 4.36",," Blue gray, Gray, Iron gray.", 4.5, Opaque,,, 3.5-4 - Copper Penny-Fluorite, Metallic," Fermion Index = 0.02
Boson Index = 0.98"," PEBriartite = 35.41 barns/electron
U=PEBriartite x rElectron Density= 144.54 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Briartite is Not Radioactive", 02.09.02.03 (02)Sulfides - Including Selenides and Tellurides," 02.KA.10 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( AntBidBlaNic1) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Briartite,,,
628," (Ni,Mg,Fe++)2Al(SiAl)O5(OH)4", Molecular Weight = 340.29 gm, Ni1.7Mg0.2Fe2+0.1Al2SiO5(OH)4, As coatings on clays and as veinlets cutting kaolinitic clay at the base of a bauxite deposit developed on karst., Approved IMA 1978," Marmara bauxite deposit, Begara, Greece. Link to MinDat.org Location Data."," Name for Dr. George William Brindley (1905-1983), Professor of Mineral Sciences, Pennsylvania State University, University Park, Pennsylvania, USA.", Brindleyite + Pronunciation, Nimesite," a = 5.286, b = 9.133, c = 7.31, Z = 2; beta = 104.15° V = 342.20 Den(Calc)= 3.30", None, Yellow green., 3.17, Transparent to Translucent,, Platy - Sheet forms (e.g. micas)., 2.5-3 - Finger Nail-Calcite, Vitreous - Pearly," Fermion Index = 0.0091487033
Boson Index = 0.9908512967"," PEBrindleyite = 12.81 barns/electron
U=PEBrindleyite x rElectron Density= 40.24 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brindleyite is Not Radioactive", 71.01.02c.03 (71)Phyllosilicate Sheets of Six-Membered Rings, 09.ED.15 09 - SILICATES (Germanates)," NAME( AntBidBlaNic2) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Brindleyite, light green," CI meas= 0.042 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= 0.08 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1924,KPDmeas= 0.2003,KC= 0.2091
Ncalc = 1.66 - 1.69"," Biaxial (?), b=1.635"
629," (Na,K,Ca)x(Al,Fe,Mg)4(Si,Al)8O20(OH)4•3.54(H2O) [x = 0.35, n = 3.54]", Molecular Weight = 957.70 gm, Na0.22K0.07Ca0.06Al3.81Mg0.08Fe2+0.08Si7.84Al0.16O20(OH)43.54(H2O)3.54, Found in an Ordovician soapy mudtone (metabentonite). Altered from ash (glass) with pyrophyllite as the precursor mineral., Approved IMA 2002 (Dana # Added)," Bangor, North Wales, England, Great Britain Link to MinDat.org Location Data."," Named for Brin Roberts, specialist for British clay minerals in the University of London.",, IMA1997-040," a = 5.2, b = 9.1, c = 24.4, Z = 2; beta = 90° V = 1,154.61 Den(Calc)= 2.75", {001} Perfect," Gray, Yellowish gray.",, Transparent,, Microscopic Crystals - Crystals visible only with microscopes.,, Earthy (Dull)," Fermion Index = 0.01
Boson Index = 0.99"," PEBrinrobertsite = 1.48 barns/electron
U=PEBrinrobertsite x relectron= 4.17 barns/cc.","
GRapi = 4.25 (Gamma Ray American Petroleum Institute Units)
Concentration of Brinrobertsite per GRapi unit = 23.56 (%)
Estimated Radioactivity from Brinrobertsite - barely detectable", 71.02.01.06 (71)Phyllosilicate Sheets of Six-Membered Rings, 09.EC.60 09 - SILICATES (Germanates)," NAME( AmMin, v 88, p 931) PHYS. PROP.(AmMin, v 88, p 931)",Brinrobertsite, white,, Biaxial (?)
630," Pb7+xMg4.5[(Si,Al)5O14](BO3)(BO3,AsO4)(CO3)(OH,O)7 ( x < 0.5)"," Molecular Weight = 4,587.29 gm", Pb14.75Mg9.03Si9.73Al0.37O30.76(BO3)3.51(CO3)2.18(OH)11.7, Layer silicate, Approved IMA 2006 (Dana # Added)," Långban deposit, Bergslagen ore region, Filipstad district, Värmland, Sweden Link to MinDat.org Location Data."," Named for Sergei Nikolaevich Britvin (b. 1965), a Russian mineralogist.",, IMA2006-031," a = 9.3409, b = 9.3597, c = 18.8333, Z = 1; alpha = 80.365°, beta = 75.816°, gamma = 59.87° V = 1,361.20 Den(Calc)= 5.60", {001} Perfect," Pale yellow, Colorless.",, Transparent, Brittle - Sectile - Brittle fracture with slightly sectile shavings possible., Platy - Sheet forms (e.g. micas)., 3 - Calcite, Adamantine," Fermion Index = 0.15
Boson Index = 0.85"," PEBritvinite =1,186.68 barns/electron
U=PEBritvinite x rElectron Density=5,647.46 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Britvinite is Not Radioactive", 71.05.03.01 (71)Phyllosilicate Sheets of Six-Membered Rings, 09.EG.70 09 - SILICATES (Germanates),,Britvinite, white," CI calc= -0.042 (Good) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1632,KC= 0.1566
Ncalc = 1.86"," Biaxial (+/-), a=1.896, b=1.903, g=1.903, bire=0.0070, 2V(Calc)=0, 2V(Meas)=20. Dispersion strong, r < v."
631, NaSb+++++O3, Molecular Weight = 192.74 gm, NaSbO3, The result of deep weathering of stibnite., Approved IMA 1994," The Cetine mine, approximately 20 km SW of Sienna, Tuscany, Italy. Link to MinDat.org Location Data.", For Dr. Giancarlo Brizzi (1936-1992) who discovered the mineral., Brizziite-III + Pronunciation, IMA1993-044," a = 5.301, c = 15.932, Z = 6; V = 387.72 Den(Calc)= 4.95", {001} Perfect, Colorless.," 4.8 - 4.95, Average = 4.87", Transparent, Unknown - Minerals too small to observe fractures., Platy - Sheet forms (e.g. micas)., 2 - Gypsum, Pearly," Fermion Index = 0.0001195361
Boson Index = 0.9998804639"," PEBrizziite-III = 208.40 barns/electron
U=PEBrizziite-III x rElectron Density= 920.59 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brizziite-III is Not Radioactive", 04.03.05.06 (04)Simple Oxides," 04.CB.05 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( MinRec) PHYS. PROP.(37th List of New Min.,Min. Mag.,1996) OPTIC PROP.(MinRec)",Brizziite-III, white," CI meas= -3.939 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -3.864 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1486,KPDmeas= 0.1509,KC= 0.0305
Ncalc = 1.15"," Uniaxial (-), e=1.631, w=1.84, bire=0.2090."
632, NaSb+++++O3, Molecular Weight = 192.74 gm, NaSbO3, The result of deep weathering of stibnite., Approved IMA 1992," The Cetine mine, approximately 20 km SW of Sienna, Tuscany, Italy. Link to MinDat.org Location Data.", For Dr. Giancarlo Brizzi (1936-1992) who discovered the mineral., Brizziite-VII + Pronunciation, IMA1993-044," a = 5.301, c = 15.932, Z = 6; V = 387.72 Den(Calc)= 4.95", {001} Perfect," Yellow, Pale pink."," 4.8 - 4.95, Average = 4.87", Transparent, Unknown - Minerals too small to observe fractures., Platy - Sheet forms (e.g. micas)., 2 - Gypsum, Pearly," Fermion Index = 0.0001195361
Boson Index = 0.9998804639"," PEBrizziite-VII = 208.40 barns/electron
U=PEBrizziite-VII x rElectron Density= 920.59 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brizziite-VII is Not Radioactive", 44.03.12.01 (44)Antimonates," 04.CB.05 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( MinRec) PHYS. PROP.(37th List of New Min.,Min. Mag.,1996) OPTIC PROP.(MinRec)",Brizziite-VII, white," CI meas= -3.939 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -3.864 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1486,KPDmeas= 0.1509,KC= 0.0305
Ncalc = 1.15"," Uniaxial (-), e=1.631, w=1.84, bire=0.2090."
